id	date	views	dur	mult	denom	n	title
Zm8fPic1llU	20260826	47	1147	0.0	5049.5	58	외국인관광객 역대최대인데 자영업 폐업도 역대최대인 이유.
F4vsJNEJMNw	20260825	23379	1151	5.1	4566	59	한국을 호구로 보고 끝없이 가격 인상하던 "코카콜라의 몰락"
Iq0Z14oJfAQ	20260824	830	1492	0.2	4966	59	중국당국 공식발표. 포르말린 배추로 뒤집어진 중국, 한국에 들어온 배추는 어디로 가나?
OrOHcZkysks	20260824	791	1187	0.2	4966	59	"가습기 살균제 또 터졌다" 이번엔 공기청정기에서 검출. (제품명 공개)
SZTgt-XAEPw	20260824	1134	1101	0.2	4966	59	"사기꾼 잡는다던 유튜버, 자기가 53억 사기쳤다" (징역 7년)
TjklarQPNSg	20260823	4003	1419	0.8	4966	59	중국 코로나 변이 대유행으로 난리. 한국은 괜찮나?
IjHzfJHr4vA	20260823	2074	1570	0.4	4966	59	한 문장에 5초 VS 35초, 전 세계가 한국어를 배우는 이유.
-w7zxhiqJVo	20260823	3454	1477	0.7	4966	59	"1억2천만원 내고 쫓겨났다" 전 세계가 중국인 유학생을 쫓아내는 이유.
R8yZEl6EkTo	20260822	8434	1157	1.8	4566	59	"펠리클 한 장에 6천만원" 배짱장사하다 한국 양산 성공에 가동률 반토막 나버린 일본 소재사들.
Ebl4fZfUhwk	20260822	1503	1139	0.3	4966	59	"지금 전부 중단해" 거제도 폭우 쏟아진 날, 한화 김승연 회장의 결단.
3EcLwnC1TcU	20260821	5603	1363	1.2	4566	59	해도해도 너무한다. 성과급 4300만원이 너무 작다고 전면파업한 현대차노조.
ONnhSIN4EQQ	20260821	349	1433	0.1	4966	59	"암 환자마다 치료제가 다릅니다" 기적의 맞춤형 신약 개발 성공. 모더나.
xToV2Um9JoE	20260821	14458	1220	3.2	4566	59	바다도 갯벌도 모자라 매미까지 털어가는 중국.
WgaggvIbtI0	20260820	6734	1347	1.5	4566	59	최근 중국 기업들이 아프리카에서 쫓겨나는 이유.
CKucBxZzaZg	20260820	912	1175	0.2	4966	59	경제위기로 세금 안 걷히자 중국 정부가 납치 감금을 자행.
Xy6GSxGZM6M	20260820	3580	1253	0.7	4966	59	미 육군이 경쟁사 모두 제치고 한국 K9만 선택한 이유
2XDmnynyn9Y	20260819	10297	1399	2.3	4566	59	"중국을 정조준한 미국의 전략", 한미연합훈련 축소에 베이징이 긴장한 진짜 이유.
cNJeqiwWjN8	20260819	2318	1833	0.5	4966	59	"창신메모리는 삼성 반도체 기술을 얼마나 많이 훔쳤나?"  현재 기술 격차는?
axH6q9WABhI	20260818	21454	1218	4.7	4566	59	서양 관광객이 15시간 날아와 한국을 찾는 진짜 이유. 관광지가 아니었습니다.
A0NCyR1uJtw	20260818	775	1221	0.2	4966	59	"전기로 인공 강우", 세계 최초로 한국이 성공한 이유.
K_RMnoaP_Qc	20260818	1854	1366	0.4	4966	59	흉물 소리 듣던 공중전화 부스, 대기업이 수천억 투자하는 이유
0HD0hTPfTRY	20260817	105099	1214	23.0	4566	59	대기업들이 수천억 들여 망해가는 주유소를 사들이는 이유. MFC.
WR4j6BCQ1Xg	20260817	6876	1340	1.5	4566	59	"30만명의 생계가 걸린 홈플러스" 매일 오픈런인데 살아날 수 있을까?
ZMkUqHEdXLo	20260817	131644	1076	28.8	4566	59	"10만명 감원, 대리점 야반도주.." 사면초가 BYD의 실체.
JykbAE8M99s	20260816	12051	1066	2.6	4566	59	중국 일대일로 실패로 1500조 떼이고 경제위기 오나?
e8a4ZFSJfoI	20260816	43974	1331	9.6	4566	59	"과대광고 & 가격 거품" 국민 건강식품 정관장의 몰락. 
xCVAALV3WLs	20260816	4010	1524	0.8	4966	59	역사상 처음 한국경제가 일본을 앞지른 이유. 
rWjUr4mEe_M	20260816	21232	1270	4.7	4566	59	콧대 높던 그래미, 결국 2주만에 BTS에 무릎 꿇고 아시안팝을 재검토하는 이유
-gq3Lsa4Qfc	20260815	44940	1062	9.8	4566	59	애국심으로 샀다가 피눈물, 중국에서 난리난 화웨이의 처참한 기술력.
6k1MES5Bw0o	20260815	5563	1297	1.2	4566	59	세계 최강 미국이 70조원을 쏟아붓고도 한국 반도체를 못 이기는 진짜 이유.
NXSMK8cQoM0	20260815	727	1304	0.1	4966	59	1억명의 삶을 파멸시킨 홍위병의 최후. 알려지지 않은 진실.
ik7beYxrBCE	20260814	1651	1356	0.3	4966	59	"104년만에 열린 270조 미국 군함 시장" 한국이 독식한다.
EVlWaVSgmVg	20260814	4566	1575	0.9	4966	59	"같이 잘 살자"라는 거짓말, 모순 덩어리 중국 공산당의 실체 폭로. 데이터로 심층분석.
O3qLnuti67M	20260813	25687	1179	5.6	4566	59	"없어서 못 팝니다" 한국폰의 무덤이라는 일본에서마저 품절. 전 세계가 폴드8에 줄 선 이유.
qOjWouZv48s	20260813	10862	1410	2.4	4566	59	한국은 전 세계에서 유일한 국가, 한국인만 모르는 한국의 잠재력.
toPG4nw7z8c	20260812	1711	1182	0.3	4966	59	아파트 30층 높이 쓰레기산, 결국 치우지 못했습니다.
FNfXeK0Qmps	20260812	1849	1415	0.4	4966	59	20년 최악의 괴담 광우병, 도대체 누구의 잘못인가?
X__DNzMPLzk	20260812	23476	1578	5.1	4566	59	전 세계 기업들이 중국에서 탈출중인 이유.
d-n-5x-KKLA	20260811	136551	1300	29.9	4566	59	28년을 버틴 100억짜리 알박기의 최후.
gFnNcB1cdgE	20260811	1993	1492	0.4	4966	59	수천 개 중에 중국빌딩만 혼자 무너진 이유.
qbmdfAYGKA0	20260810	6037	1304	1.3	4566	59	삼성은 어떻게 이겼나? 구글, 애플, 마이크로소프트 다 덤벼들었던 인재전쟁의 승자는 삼성전자.
NHcNeNogc2c	20260810	43003	1263	9.4	4566	59	"이게 가능하다고?" 대세가 된 모듈아파트, 이젠 데이터센터까지 삼킨다.
1P08-wwFBlw	20260809	5133	1223	1.1	4566	59	중국MZ들이 서울병을 앓는 진짜 이유. 
rcijYQ4Rzqw	20260809	10038	1420	2.2	4566	59	중국의 노숙자가 5.3배 급증한 이유.
slA6pVpskIs	20260809	1644	1464	0.3	4966	59	"990원 도넛" 매일 오픈런 오전 11시 문 닫는다.
jG6Xo3BIXVo	20260808	4966	1602	1.1	4566	59	중국 최고 아파트 가격도 반토막
uSQkRzfL8Po	20260808	21973	1344	4.8	4566	59	"HBM보다 무려 8배 빠른 ZHBM" 의 등장에 경악한 반도체 업계 현황
ltlc0ng13AM	20260808	2714	1216	0.5	4966	59	장사 34년째 이런 적 처음, 해수욕장이 텅 빈 이유. 심층분석.
Y9_i8ONM7PY	20260807	8263	1159	1.8	4566	59	삼성 4나노가 다 잡았다. 파운드리사업부 내년까지 예약이 꽉 찬 이유.
