id	date	views	dur	mult	denom	n	title
mrT30YP8Wbo	20260822	39721	923	0.6	66900	59	주한미군 뺄테면 빼라 철수 하루 만에 벌어지는 일 | 김대영 군사평론가 1부
L4UuR2_zOu0	20260822	37213	1049	0.6	66900	59	"한국 무기 내놔라?" 싹다 까발려진 젤렌스키 실체. 한국 없인 전쟁도 못한다｜김민석 특파원 2부
hZ9aVxTKQLQ	20260822	38472	2021	0.6	66900	59	사우디 UAE 급 한국행. 한국에 엄청난 일 터진다｜박현도 교수, 김정호 교수, 김민석 특파원 특집
Veije8FPSXo	20260822	165981	1013	2.5	65672	59	미국 한미동맹 폭탄 선언. 중국 러시아 초비상 걸렸다｜이춘근 박사 1부
AjKCtReKX7s	20260822	7222	986	0.1	66900	59	엔화 결국 휴지조각 됐다 초비상 걸린 일본 실제 상황 | 이명찬 박사 1부
pEFp14sH1Z0	20260821	50009	2266	0.7	66900	59	"기름 넘친다더니..." 러시아 결국 한국에 손 벌렸다 곧 상상도 못한 일 벌어진다 | 김민석 특파원 풀버전1
3yhHoi2Ogn8	20260821	33747	2574	0.5	66900	59	사상 최악의 대참사 터졌다 중국 전기차 싹다 폐기 처분 | 윤석천 경제평론가 풀버전
Qw7QTepy5Sw	20260821	99104	3270	1.5	65672	59	"시진핑 죽을 맛이다" 일본 반격에 초토화 날벼락 맞은 중국 실제 상황 | 김정호 교수 풀버전 2
yxpBaYZtyLY	20260821	56272	995	0.8	66900	59	"역대급 신무기 등장" 우크라 무제한 폭격 개시. 러시아 본토 초토화 됐다｜김민석 특파원 1부
rPFxOzOF3l4	20260821	38365	937	0.6	66900	59	삼성전자 마지막 탈출 기회? '이 가격' 되면 다 파세요 | 김민수 대표 2부
psV7xpJa3vQ	20260820	60329	2551	0.9	66900	59	중국 대참사 터졌다 반도체 전기차 싹다 망할 판 | 강준영 교수 풀버전
ZdKqBq-kqAo	20260820	39908	915	0.6	66900	59	드디어 움직인 김한솔에 발칵 곧 평양에 피바람 분다 | 김주성 탈북작가 4부
nNqIB7y43SE	20260820	29669	1091	0.4	66900	59	"시진핑 바짝 쫄았다" 일본 반격에 초비상. 날벼락 맞은 중국 실제 상황｜조의준 대표 3부
0XEqmlueTOg	20260820	46840	1237	0.7	66900	59	"한국 아니면 안된다" 미국 도산안창호함 폭탄 선언 중국 캐나다 미칠지경이다 | 김민석 특파원 4부
7qeBKoXy_MA	20260820	4035	1425	0.1	66900	59	삼성전자 또 한 번 반등 온다. 대신 '이때' 되면 싹다 파세요｜김영웅 대표 1부
0EAG7jIOh4g	20260819	48876	1857	0.7	66900	59	사상 최악의 대참사 터졌다 초비상 걸린 중국 현재 상황 | 홍대선 작가 풀버전 2
iDd9A2H-u18	20260819	88916	3182	1.4	65672	59	"중국 필요 없다" 한국 희토류 확보했다 발칵 뒤집힌 중국 초비상 | 조현승 박사 풀버전
7UdV_cazTlk	20260819	208969	1201	3.2	65672	59	사우디 UAE에 싹다 퍼진 한국에 대한 기막힌 소문 | 박현도 교수 3부
w9VnxvWz5_8	20260819	26856	1380	0.4	66900	59	금값 70년전과 똑같다. 곧 상상못할 일 터진다｜조규원 대표
SouK7Kd2QN8	20260819	12751	1063	0.2	66900	59	삼성전자 난리난 진짜 이유 곧 어마무시한 일 벌어진다 | 김민수 대표 1부
w_hG_0TqfsM	20260819	92400	1243	1.4	65672	59	주한미군 충격 소문 한반도가 180도 뒤집힌다 | 김민석 특파원 3부
VfXhZayy-gU	20260818	61111	1724	0.9	66900	59	"48대 전부 달라" KF-21 수출 초대박 났다 전투기 판도 180도 뒤집힌다 | 김민석 특파원 풀버전 2
E3IOcyDtmJ8	20260818	11782	656	0.2	66900	59	미국 K배터리 충격 결단 "중국 배터리 전량 폐기" | 윤석천 경제평론가 3부
mZ5fmCHVF-U	20260818	133879	1995	2.0	65672	59	극비리에 한국 찾은 UAE 돌변 한국에 태도 급변한 진짜 이유 | 김정호 교수 풀버전 1
kICESCLKv0c	20260818	12047	1011	0.2	66900	59	추가 파병 소식에 평양 발칵 싹다 속았다 난리난 이유 | 김주성 탈북작가 3부
3GlJyKMGt1s	20260818	152737	3175	2.3	65672	59	“증권가는 쉬쉬하고 있다” 삼성전자 폭락한 진짜 이유 곧 무시무시한 일 벌어진다 | 이승조 무극선생 풀버전
ZDEcjWLIPTg	20260817	47289	1160	0.7	66900	59	간보던 인도네시아 돌변 KF-21 48대 전부 구매 | 김대영 군사평론가 4부
CBYA5kdMQbA	20260817	85938	937	1.3	65672	59	베이징 상하이도 텅텅 비었다 죄다 망해버린 중국 경제 상황 | 강준영 교수 3부
kWoHBKz4ELE	20260817	82659	1089	1.3	65672	59	"기름 넘친다더니..." 결국 한국에 손 내민 러시아 곧 한국에 엄청난 일 터진다 | 김민석 특파원 2부
LqboDKSsm8g	20260817	208595	903	3.2	65672	59	극비리에 한국 찾은 사우디 돌변. 한국에 대한 태도 급변한 이유 | 박현도 교수 2부
